X,Y,OBJECTID,PARKINGMID,ASSETID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,ACCESSIBLE,DURATION,FDMID,PARTNER,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,LEGACYID,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.583874918584279,44.642541554876317,59534,PKM7647,PKM7647,PKM,Halifax,,,,,Right-of-Way,,300,700006011,,In Service,,,Halifax,41A,,2016-10-07T13:33:00.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.580856669959466,44.640737076144795,59535,PKM7648,PKM7648,PKM,Halifax,,,,,Right-of-Way,,300,300001924,,In Service,,,Halifax,8B,,2016-10-07T13:30:14.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.579721945042031,44.640469371673142,59536,PKM7649,PKM7649,PKM,Halifax,,,,,Right-of-Way,,300,300001960,,In Service,,,Halifax,9B,,2016-10-07T13:25:32.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.579689665878938,44.640369860490061,59537,PKM7650,PKM7650,PKM,Halifax,,,,,Right-of-Way,,300,300001960,,In Service,,,Halifax,7A,,2016-10-07T13:25:32.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.579646226046741,44.640235542557427,59538,PKM7651,PKM7651,PKM,Halifax,,,,,Right-of-Way,,300,300001960,,In Service,,,Halifax,3A,,2016-10-07T13:25:32.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.584177503511313,44.642705916004573,59539,PKM7655,PKM7655,PKM,Halifax,,,,,Right-of-Way,,300,700004779,,In Service,,,Halifax,34A,,2016-10-07T13:33:44.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.580002064900462,44.641375352403323,59540,PKM7657,PKM7657,PKM,Halifax,,,,,Right-of-Way,,120,300001872,,In Service,,,Halifax,19A,,2016-10-07T13:25:12.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.586971597319895,44.64090285559773,59541,PKM7658,PKM7658,PKM,Halifax,,,,,Right-of-Way,,120,700004848,,In Service,,,Halifax,31A,,2016-10-07T13:39:49.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.586953618437803,44.639994630347324,59542,PKM7659,PKM7659,PKM,Halifax,,,,,Right-of-Way,,120,300001957,,In Service,,,Halifax,2,,2016-10-07T13:40:28.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.576017366472165,44.645030903632311,59543,PKM7665,PKM7665,PKM,Halifax,,,,,Right-of-Way,,120,300001634,,In Service,,,Halifax,34,,2016-10-07T13:18:18.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
